WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
1,POILDUB,World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",,U.S. dollars,Units,,35.846,34.294,31.757,28.468,27.509,26.508,13.056,16.964,13.36,15.781,20.73,16.607,17.138,14.906,14.832,16.128,18.537,18.102,12.09,17.076,26.085,22.71,23.734,26.732,33.44,49.192,61.412,68.405,93.713,61.729,78.064,106.027,108.919,105.43,96.664,51.232,41.236,53.116,69.13,63.147,36.997,39.153,
1,POILWTI,World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",,U.S. dollars,Units,,37.879,36.168,32.67,30.604,29.388,27.992,15.024,19.193,15.972,19.692,24.518,21.512,20.555,18.455,17.183,18.432,22.132,20.585,14.416,19.166,30.315,25.869,26.116,31.133,41.429,56.455,66.036,72.347,99.612,61.702,79.405,95.046,94.143,97.934,93.135,48.748,43.226,50.924,64.785,56.995,32.933,35.007,
1,PNRGW,World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.316,45.18,42.688,45.897,54.558,51.299,37.343,45.935,73.896,66.679,62.994,78.152,98.809,136.638,154.329,169.418,234.787,144.334,179.764,233.343,229.791,227.529,214.151,119.717,100,123.923,157.694,130.426,80.462,87.462,
1,POILAPSPW,World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.","Index, 2016=100",,,86.861,83.367,76.153,69.15,66.651,63.908,33.062,42.465,34.448,41.751,53.607,45.134,44.396,39.143,37.216,40.157,47.529,44.972,30.515,41.977,65.885,56.78,58.242,67.445,87.948,124.491,150.04,166.125,226.404,144.297,184.6,243.063,245.369,243.114,224.834,118.658,100,123.375,159.623,143.452,83.23,88.502,
1,PNGASW,World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.298,64.291,58.036,59.377,74.511,70.202,57.454,59.052,107.514,103.527,85.2,122.668,134.164,195.761,189.096,193.408,270.996,154.138,163.654,204.326,209.852,213.197,214.72,139.99,100,116.099,146.692,92.788,64.312,82.807,
1,PNGASEU,World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,3.81,3.44,2.13,1.9,1.589,2.035,3.008,2.365,2.598,2.312,2.696,2.75,2.67,2.245,1.807,3.454,3.873,2.666,3.486,3.755,5.915,8.213,8.143,13.138,8.855,8.223,10.597,11.981,11.189,10.463,7.305,4.353,5.744,7.915,4.449,2.981,4.007,
1,PNGASJP,World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,3.35,4.363,
1,PNGASUS,World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.451,1.751,2.114,1.915,1.704,2.689,2.46,2.088,2.261,4.308,3.959,3.361,5.507,5.908,8.895,6.74,6.982,8.858,3.946,4.386,4,2.752,3.726,4.37,2.614,2.492,2.964,3.155,2.566,1.979,2.436,
1,PCOALW,World,Commodity Coal Price Index includes Australian and South African Coal,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.817,52.75,49.892,43.279,45.214,55.434,53.179,49.374,41.687,37.313,39.351,49.338,39.495,43.288,82.919,71.922,76.882,98.373,192.189,104.445,145.769,182.639,144.5,126.651,110.149,89.045,100,132.739,156.791,113.955,108.586,108.774,
1,PCOALAU,World,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",,U.S. dollars,Units,,42.935,50.818,54.768,38.188,30.958,33.75,31.125,27.5,34.875,38,39.667,39.667,38.563,31.333,32.3,39.372,38.074,35.099,29.231,25.892,26.25,32.313,27.06,27.954,56.73,50.816,52.731,70.089,138.024,76.16,104.599,129.607,101.443,90.134,75.729,62.693,70.082,94.138,113.231,82.193,73.793,75.927,
